biome_type,url
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach1.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach10.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach100.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach101.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach102.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach103.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach104.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach105.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach106.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach107.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach108.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach109.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach11.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach110.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach111.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach112.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach113.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach114.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach115.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach116.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach117.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach118.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach119.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach12.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach120.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach121.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach122.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach123.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach124.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach125.png
beach,https://raw.githubusercontent.com/Exeton/MinecraftBiomesDataset/main/beach/biome.minecraft.beach126.png
